repo	sha	date	category	inserted	deleted	subject
lessons_studio	3471f325e4bd	2026-07-05	outside-task change	0	158	Remove stray test-wave lesson doorstop from process-patch cherry-pick
lessons_studio	79fd6cf7c21b	2026-07-06	other: product/behavior	700	2419	Purge hand-notation opener from track_01 hand-rankings section
lessons_studio	374dd2ecb3cf	2026-07-11	other: product/behavior	6	6	Remove mandatory eli10 response style
lessons_studio	258ba1bbd996	2026-07-17	other: product/behavior	49	360837	Remove puzzle content from Lesson Studio releases
lessons_studio	c190847c552a	2026-07-29	other: product/behavior	90	53	chore: simplify lesson change-set operations
lessons_studio	90be62e42cc1	2026-08-07	proof ceremony	38	701	Trim Straights & Flushes (94af55a5) from 14 steps to 10
lessons_studio	f31279253c51	2026-08-21	proof ceremony	50	166	SEM-4297: an imported row points home instead of copying the receipt
lessons_studio	8150e5b24441	2026-08-22	other: product/behavior	102	90	SEM-4356: import the pilot puzzle rows and retire origin: bootstrap
lessons_studio	873b272f34d5	2026-09-21	other: product/behavior	6	29	Remove Mission-only Lesson step descriptors [skip ci]
lessons_studio	e5ce6e72c99c	2026-09-23	other: revert	9	260	Revert "Section 6-1 brief: Bet Size Sets the Price, four lessons"
prime-agent	ec626e8fa651	2026-08-31	outside-task change	8	375	revert: remove unintended Prime inference changes
prime-agent	2f7429074fc0	2026-09-14	test sprawl	1051	2846	test: collapse refinement, settings and config suites into case tables
psagentspace	070f95a9d673	2026-07-07	other: docs/plans	1266	252	Unify sources of truth: file docs/ pile, repair plans lifecycle, reconcile packs
psagentspace	47b1265b166e	2026-07-23	other: docs/plans	33	21	docs(plans): sim doctrine now pin-one-device-per-platform (Amir 2026-07-23): one rc-canonical-ios sim (+ android if needed), no device churn, per-run app-reset + shutdown, delete pins at program end
psagentspace	389ed650a19d	2026-07-23	proof ceremony	34	26	fix(research): remove unsupported ChatGPT Ads preapproval gate
psagentspace	ac2f0db901cc	2026-07-24	other: product/behavior	1	1	ops: remove Andy from Monday email roster
psagentspace	fd2a1390f6ae	2026-07-24	other: docs/plans	4	0	docs(rc-canonical): consolidated verification PASS all lanes, wave checkpointed in 4 commits, G19+G12 census repairs dispatched
psagentspace	3c4c069e3931	2026-07-24	other: docs/plans	85	303	docs: strip Metrics v4 refresh plan to two files
psagentspace	14f8b7dc2354	2026-07-26	other: docs/plans	110	5	docs(rc): descope G7/G8 per Amir; deep dives on G10 and G13
psagentspace	876b651b20b6	2026-07-31	proof ceremony	10	2	conductor: S4 accepted 9/9; final-gate verdicts — arch approve, cruft clean, code 1 repair (PC-004 in flight)
psagentspace	8b4dd10bce79	2026-07-31	other: docs/plans	264	273	report: simplified 580->432 lines, anchored to the peak arc, 19-row then-vs-now delta; documents Natasha's off-plan campaign 9 restart (Jul 31 13:23 UTC, zero gates applied)
psagentspace	f0ec41fc9cba	2026-07-31	other: docs/plans	3725	1	research: YouTube peer teardown of 9 mass-market comps, visual report shared
psagentspace	655702a1982f	2026-09-01	abstraction/wrapper/controller	528	1978	Hand Semantics Service: scope to 2-6 player NLHE, retire the PKO exemplar
psagentspace	3a61a440450f	2026-09-12	abstraction/wrapper/controller	49	12	Remove loop display row ceiling
psagentspace	9663a4404421	2026-09-14	other: product/behavior	160	155	Simplify daily sheet maintenance execution
psagentspace	95914e63a9da	2026-09-15	proof ceremony	2	1	Stop re-asking for commit/push approval on tasks that deliver a PR
psmobile	de34f9c30b43	2025-06-12	other: product/behavior	2	3	refactor: remove PokerTableView and render blank screen in App component
psmobile	147c77871a95	2025-06-12	other: product/behavior	11	2	Use hash format for API key instead of JSON file
psmobile	f1f34679e20d	2025-06-12	other: product/behavior	0	6	Remove API key from repo (moved to secure location)
psmobile	5bd67f4a92a1	2025-06-12	other: product/behavior	3	3	Fix API key hash format - use string keys instead of symbols
psmobile	c1bf8b041143	2025-06-12	extra state	22	9	Strip down to blank canvas for poker table view
psmobile	43b58af304df	2025-06-13	other: product/behavior	85	5160	feat: strip down to blank canvas for puzzle-builder branch
psmobile	79bbd47da74b	2025-06-13	fallback/compat path	36	63	fix: Remove Lottie confetti and fix web compatibility issues
psmobile	114b9c3738e8	2025-06-13	other: dead/stale/unused code	4	25	chore: remove unused Bot images and simplify avatar assets
psmobile	e51f7d0f4192	2025-06-14	other: product/behavior	0	44	refactor: remove TURN_DECISION_01 puzzle from puzzles array
psmobile	08069455ae13	2025-06-14	extra state	1	24	refactor: remove decorative table layers and adjust container height in PokerTable
psmobile	5a7484e152bf	2025-06-14	diagnostics residue	1	17	refactor: remove colored borders used for debugging
psmobile	44277a7dadac	2025-06-14	other: dead/stale/unused code	1	13	fix: pass props to StreakScreen and remove obsolete HAND_PUZZLE row
psmobile	8a7ff2dff3b1	2025-06-14	abstraction/wrapper/controller	24	35	refactor: remove unnecessary buttonWrapper views from PuzzleScreen answers
psmobile	2307bf0c28c2	2025-06-14	other: docs/plans	0	205	chore: remove puzzle area polishing plan
psmobile	11a3df631b20	2025-06-14	other: docs/plans	0	153	chore: remove outdated Level-Editor enhancement plan document
psmobile	2eb63f434458	2025-06-14	other: docs/plans	0	66	docs: remove level-editor de-clutter plan from plan.md
psmobile	a047a6e5c800	2025-06-14	other: docs/plans	0	4	docs: remove migration helper step and related references from plan.md
psmobile	e5dd4f1275a7	2025-06-14	other: dead/stale/unused code	45	26	refactor: align avatar seats to 110x120 grid and remove obsolete styles; fix: throw error on missing avatar assets in mobile and web; feat: display MultipleChoiceHandView answers in centered 2x2 grid; style: update TablePositionQuizView CTA button disabled color to grey
psmobile	417d61f27400	2025-06-15	extra state	28	63	fix: remove AsyncStorage dependency and simplify onboarding flow
psmobile	172b6c1aa435	2025-06-15	extra state	0	35	chore: remove unused AsyncStorage dependency
psmobile	4c01740ce361	2025-06-15	other: product/behavior	2	3	fix: simplify Heroku build process to avoid turbo dependency
psmobile	17f9bbd58585	2025-06-15	extra state	46	31	fix: simplify onboarding flow and remove state persistence
psmobile	7e3cb05c8ccf	2025-06-15	extra state	27	12	fix: remove alpha channel from 1024x1024 iOS app icon for TestFlight
psmobile	6bfc43f5a6bc	2025-06-16	fallback/compat path	20	70	refactor: replace react plugin with vite-plugin-react-native-web and simplify aliases
psmobile	e868b5bf289e	2025-06-16	test sprawl	1	4	fix: remove test-only override of timeLimit in SwapFrenzyView component
psmobile	64f20d58a71b	2025-06-16	fallback/compat path	0	1	refactor: remove unused '@pokerbob/ui' alias from metro config
psmobile	5d4d97543958	2025-06-16	other: product/behavior	2	2	fix: remove undefined import and replace RANKS with explicit array in deckUtils.ts
psmobile	16bd307c5946	2025-06-16	diagnostics residue	5	3	refactor: replace CommunityCards with tappable cards and add debug log on press
psmobile	419587c36aa1	2025-06-16	other: product/behavior	4	0	fix: dedupe react and react-dom imports in level-editor vite config to prevent duplicates
psmobile	e8f5d8625d81	2025-06-16	fallback/compat path	8767	1513	fix: Replace WASM with TypeScript fastcards library and fix hand strength comparison
psmobile	60766b894dad	2025-06-17	diagnostics residue	0	71	refactor: remove tool-log overlay and enlarge chat history panel in PuzzleCanvas
psmobile	a4ce4b4cf079	2025-06-17	other: product/behavior	20	24	refactor: simplify parseCardTool.execute and move rank/suit names to top constants
psmobile	42ecec4a2e80	2025-06-17	flags/knobs/env	0	1	fix: remove strict mode from json_schema response_format in useOpenAI.ts
psmobile	16c52cc51e20	2025-06-17	fallback/compat path	0	63	fix: Remove duplicate handRank.json file
psmobile	4bde9edcb7fe	2025-06-17	other: product/behavior	1	1	fix: Simplify create button text to just "+"
psmobile	496f7e4d99a6	2025-06-17	other: product/behavior	2	1	fix: use explicit isNewPuzzle prop and remove props destructuring in AIPromptBox
psmobile	3707ae5e7b41	2025-06-18	abstraction/wrapper/controller	6	43	fix: remove assistant wrapper and render only formatted tool messages in chat component
psmobile	cb7dbd1729bc	2025-06-19	other: docs/plans	4	309	chore: remove generated docs from git tracking
psmobile	338804d8037b	2025-06-20	diagnostics residue	611	564	fix: eliminate 18k console logs in level editor with lazy loading
psmobile	5c0fa275f223	2025-06-22	abstraction/wrapper/controller	2	6	refactor: remove unnecessary wrapper in ResizableContainer for CurriculumAIAssistant
psmobile	0da5662d7c20	2025-06-22	other: product/behavior	0	4	chore: remove react-native-audio-api from include and filePatterns in sound.json
psmobile	53f56a3c868e	2025-06-22	diagnostics residue	43	11	refactor: replace anonymous views with named wrappers for better debugging
psmobile	6e034103b89a	2025-06-22	other: docs/plans	263	46	refactor: remove toggle from ValidationErrors and add ValidationSidePanel component; docs: add curriculum system prompt and update plan with AI assistant integration; build: update concurrently to 9.2.0
psmobile	246f8ce8679b	2025-06-23	diagnostics residue	0	12	chore: remove DEBUG_LAYOUT code from CurriculumAIAssistant
psmobile	e7fb52cf80a9	2025-06-24	other: product/behavior	712	26	Remove native dependencies and fix HandLadderTask exit button
psmobile	1c6b503785c6	2025-06-24	other: product/behavior	26773	209	Remove reanimated and gesture-handler, fix circular dependencies
psmobile	07278fa38965	2025-06-26	fallback/compat path	3	1642	chore: Remove duplicate assets directory and update gitignore
psmobile	05fb617f36fd	2025-06-26	other: product/behavior	1	531	remove all EAS Build artifacts
psmobile	97eb826aa7dd	2025-06-26	other: product/behavior	23	316	simplify Makefile: remove EAS, keep only setup/ios/android/clean targets
psmobile	cb9ebd534b4b	2025-06-26	outside-task change	3	90	chore: Remove copyrighted book content from version control
psmobile	2f870f385606	2025-06-27	other: product/behavior	22	6	Simplify Makefile with clear clean/clean-all distinction and add device commands
psmobile	69cb5c1eb319	2025-07-04	diagnostics residue	1	106	Remove debug logging from environment configuration
psmobile	8a892a194419	2025-07-06	other: dead/stale/unused code	9	909	refactor: remove old PuzzleOfTheDay task system
psmobile	51aedaea2361	2025-07-06	other: dead/stale/unused code	0	346	chore: remove old hardcoded data files
psmobile	aa645bb2a6da	2025-07-06	other: product/behavior	12	41	fix: remove react-query dependency from puzzle engagement
psmobile	817428991189	2025-07-06	other: product/behavior	2	7	refactor: remove TableTaskScreen from RootNavigator
psmobile	3784fb3cf63d	2025-07-11	flags/knobs/env	4	4	fix: remove obsolete env:dev script from Makefile
psmobile	4f50a822aa78	2025-07-11	other: product/behavior	1	2	chore: remove 'Run make prebuild' message from setup in Makefile
psmobile	6a83eb89e9dd	2025-07-23	other: docs/plans	10	281	revert: remove QA endpoints and services to fix build and update plan status
psmobile	43279d886b84	2025-07-23	diagnostics residue	13	31	feat: move Puzzle QA (Local) to main debug menu and remove from DatabaseDebug
psmobile	f93b78759ee5	2025-07-23	other: dead/stale/unused code	0	3	fix: remove unused context import from puzzle_qa.sql.go
psmobile	ed6d1f97a107	2025-07-23	diagnostics residue	0	1	chore: remove console logging from PuzzleQADebugScreen QA list
psmobile	64eb9457dd14	2025-07-23	flags/knobs/env	31	25	fix: render hero and opponents by isHero flag instead of fixed seat index
psmobile	e8b6ef720a87	2025-07-23	abstraction/wrapper/controller	8	1	fix: remove leading "--" arg to support go run with cobra CLI
psmobile	8c775c518ebb	2025-07-24	fallback/compat path	0	361	fix: remove duplicate function and style definitions from TableTaskScreen
psmobile	6ca211a704b9	2025-07-24	extra state	42	93	refactor: simplify top avatars layout using flexbox and remove column styles
psmobile	e0e5894a49fe	2025-07-24	diagnostics residue	0	45	refactor: remove DebugGrid and rely on flexbox borders for top avatars
psmobile	3293aa5f39fd	2025-07-24	other: product/behavior	0	28	feat: remove hint button and related modal from HeroArea and TableTaskScreen
psmobile	8f55ee056ff3	2025-07-24	other: product/behavior	5	28	fix: simplify HintButton by removing shadow and extra container styles
psmobile	656867196f66	2025-07-24	other: product/behavior	3	6	refactor: remove redundant dev sync-user logic from UserSyncProvider
psmobile	251bfa9fb46a	2025-07-24	other: product/behavior	5	36	chore: remove level-editor references and align root package.json with mobile app
psmobile	51c41ccae695	2025-07-24	other: product/behavior	1	2	fix: remove backfaceVisibility to fix double-flip card animation bug
psmobile	c5565568783e	2025-07-24	other: docs/plans	0	207	docs: remove plan sections unrelated to screen dimensions and responsive layouts
psmobile	43b357014375	2025-07-24	diagnostics residue	1	1	fix: log full puzzle JSON instead of only OHH in QA debug screen
psmobile	494a9da7fde2	2025-07-24	other: product/behavior	1	2	fix: remove invalid provisioningProfiles key from Fastfile export_options
psmobile	00210f84b45b	2025-07-24	other: product/behavior	958	3178	build: update dependencies and remove level-editor workspace
psmobile	ed009cb385f1	2025-07-24	other: revert	11	3	revert: restore conditional text style and original buttonText styles
psmobile	7732775a8536	2025-07-25	fallback/compat path	0	629	feat: remove complex IntermediateFormatAdapter and TaskDataAdapter
psmobile	2052bf5fc237	2025-07-25	other: product/behavior	0	70	chore: remove ChipCount component and add Blinker-Black font file
psmobile	55ace6d062ad	2025-07-25	other: product/behavior	0	25	fix: remove pocket card shadows from PocketCards component and styles
psmobile	825f669a3ab4	2025-07-25	diagnostics residue	4	27	fix: remove floating debug button and unify debug modal trigger with header
psmobile	852be1edd9a7	2025-07-25	abstraction/wrapper/controller	9	18	refactor: remove chipCapsuleContent flex wrapper from TableSeat component
psmobile	c72fff2def93	2025-07-25	other: product/behavior	0	8	refactor: make TableLogo flow after CommunityCards and remove absolute styles
psmobile	f354aef363e7	2025-07-25	other: product/behavior	0	6	fix: remove bottom-right rank and suit from PlayingCardV2 display
psmobile	77eb3bf7df70	2025-07-25	other: product/behavior	0	6	fix: remove upward translateY to prevent pocket cards creeping up
psmobile	3fee28d2907e	2025-07-25	fallback/compat path	0	5	fix: remove duplicate tableLogoContainer style definition
psmobile	a2bfc7906c57	2025-07-25	extra state	0	2	refactor: remove experimental RiveStars animation from table view
psmobile	3a2aa1785fd2	2025-07-25	other: product/behavior	8	10	fix: remove scaling from hero area children positions
psmobile	fd4f8efc4ee1	2025-07-25	other: docs/plans	0	77	docs: remove detailed plan for adding practice puzzles to dashboard
psmobile	88a0faf8c1ee	2025-07-25	other: docs/plans	0	125	docs: remove detailed responsive layout refactoring plan from plan.md
psmobile	1e71eebf627a	2025-07-25	diagnostics residue	1	1	fix: move HintTextView to PokerTableView and remove from debug screen
psmobile	9e19ae24c088	2025-07-25	fallback/compat path	1	1	fix: replace Wingdings fallback with Zapfino in blinker font stack
psmobile	9ad6544a2454	2025-07-25	diagnostics residue	3	3	feat: replace demo puzzles with sprite debug placeholder in dev menu
psmobile	cd63d03c01b6	2025-07-25	other: product/behavior	1	1	fix: remove upward movement from second pocket card animation
psmobile	cf47e001b394	2025-07-26	other: dead/stale/unused code	0	158	refactor: remove unused task types from mobile app
psmobile	6733a93e1956	2025-07-26	extra state	266	346	refactor: remove task mapper and use canonical InteractiveTableTask in table QA flow
psmobile	f13608715b2c	2025-07-26	other: docs/plans	1	7	docs: remove all security/privacy requirements and deprioritize security concerns
psmobile	2267851a7827	2025-07-26	fallback/compat path	26	21	fix: refactor PuzzleTaskScreen to use canonical puzzle format and remove adapter
psmobile	e670477fde78	2025-07-26	fallback/compat path	37	10	refactor: remove legacy handLog prop from TableTaskScreen, PokerTableView, HeroArea
psmobile	a055b7e02ad4	2025-07-26	other: product/behavior	3224	76	build: add generated proto files for psmobile task and remove TaskMapper
psmobile	c2659b668817	2025-07-27	other: product/behavior	26	92	refactor: remove avatar and move stats below description in PuzzleInfoModal
psmobile	e40ca05ad513	2025-07-27	diagnostics residue	0	20	chore: remove dev logs for auth token from API and puzzle service clients
psmobile	06255a1e47e1	2025-07-27	diagnostics residue	0	9	fix: remove verbose puzzle caching logs to reduce console spam
psmobile	f9465d411ad0	2025-07-27	other: product/behavior	20	28	refactor: remove "Daily puzzle" label and separate stats from description
psmobile	40a5588a9829	2025-07-27	diagnostics residue	0	4	chore: remove verbose row-to-CachedPuzzle logging in OfflineStorage
psmobile	a58bbd4b23d1	2025-07-27	diagnostics residue	0	3	fix: remove excessive puzzle difficulty logging from DashboardScreen
psmobile	aada878430be	2025-07-27	retry/repair machinery	0	2	chore: remove repetitive backend health check log from SyncManager
psmobile	f0d5c225257d	2025-07-27	diagnostics residue	0	2	fix: remove error log when userId is missing in completePuzzle during sync
psmobile	ff9dacda81bd	2025-07-27	fallback/compat path	0	2	fix: remove duplicate React and react-native imports in TaskResultsScreen
psmobile	d6c9522e06e4	2025-07-27	other: docs/plans	4	5	fix: remove unused HintTextView import and update project plan progress
psmobile	d69ba2506edf	2025-07-27	diagnostics residue	0	1	fix: remove verbose getDashboard response log from puzzleService
psmobile	9ee062c46000	2025-07-27	other: product/behavior	3	4	fix: render all tens as 'T' and remove special sizing for '10' cards
psmobile	6bc0ee228e76	2025-07-27	diagnostics residue	0	1	fix: remove debug log spam from PuzzleOfTheDayCard rendering
psmobile	4f7ecba69d04	2025-07-27	other: product/behavior	38	33	fix: pass onLongPress to PuzzleOfTheDayCard and remove outer touchables
psmobile	f59ff2944272	2025-07-28	other: dead/stale/unused code	0	5055	refactor: remove unused examples directory and legacy types
psmobile	4c7eb9673400	2025-07-28	other: dead/stale/unused code	2	2260	refactor: remove unused dashboard, audio, card utils, and curriculum modules
psmobile	9a35e3c80bc4	2025-07-28	abstraction/wrapper/controller	0	1879	chore: remove knowledge service - moved to separate project
psmobile	1f65f5abb867	2025-07-28	proof ceremony	0	1484	refactor: remove old manifest-based task system components
psmobile	616d5900133b	2025-07-28	fallback/compat path	0	835	refactor: remove legacy task scripts and loaders
psmobile	c06667668633	2025-07-28	proof ceremony	2	740	refactor: clean up references to removed manifest system
psmobile	213cf3f4a837	2025-07-28	fallback/compat path	0	616	refactor: remove legacy task data source
psmobile	625edcae7c75	2025-07-28	extra state	2	398	refactor: remove custom audio service modules and update LLM response cache
psmobile	8862b2e357db	2025-07-28	fallback/compat path	149	541	refactor: remove legacy offline logic, add sync queue pruning and telemetry
psmobile	dde8100951c9	2025-07-28	fallback/compat path	0	264	refactor: remove redundant online-only API hooks
psmobile	4e9e2f1adb41	2025-07-28	fallback/compat path	3	200	refactor: remove legacy task loading system
psmobile	dcb1ce41a219	2025-07-28	flags/knobs/env	28	203	refactor: remove synced flags and syncError fields from local DB schema
psmobile	6fb40813cb07	2025-07-28	fallback/compat path	2	173	refactor: remove legacy TaskManager
psmobile	4845d0ccfc32	2025-07-28	fallback/compat path	0	166	refactor: remove legacy table-related components
psmobile	3066bbd630cc	2025-07-28	other: product/behavior	31	144	refactor: simplify puzzle hooks to use local-first read path only
psmobile	a6be5fbf9497	2025-07-28	test sprawl	2	72	chore: remove unused database migration test and update Makefile testflight steps
psmobile	e0ba85dc78d0	2025-07-28	extra state	111	167	refactor: simplify mutation hooks to write local-only and queue for sync
psmobile	e31bfa88d0ad	2025-07-28	extra state	0	41	fix: remove references to deleted example views from task registry
psmobile	77496ff8c16c	2025-07-28	fallback/compat path	0	25	fix: remove duplicate cleanupOrphanedEngagements method from OfflineStorage
psmobile	401f8f61d09a	2025-07-28	fallback/compat path	1	24	refactor: remove backwards compatibility Puzzle aliases
psmobile	1a339a314396	2025-07-28	other: product/behavior	0	9	fix: remove HandTaskScreen references from RootNavigator to resolve import error
psmobile	600b71e9dd60	2025-07-28	other: product/behavior	0	9	fix: remove TaskBrowserScreen references from RootNavigator
psmobile	399a3f635fd6	2025-07-28	other: product/behavior	4	12	fix: remove continuous polling from offline puzzle query hooks
psmobile	c62e6ad60af4	2025-07-28	other: dead/stale/unused code	2	9	refactor: remove obsolete curriculum and loader code from task-core package
psmobile	61d15a84d5d2	2025-07-28	other: product/behavior	0	3	fix: remove invalid export of non-existent usePuzzle module
psmobile	0596ced1320a	2025-07-28	extra state	0	2	fix: remove index creation for deleted synced columns in database schema
psmobile	17084c060c99	2025-07-28	fallback/compat path	0	1	fix: remove duplicate theme import in TaskResultsScreen.tsx
psmobile	f7ee4bd9bc90	2025-07-28	test sprawl	1	8	chore: remove failing migration unit tests and related config
psmobile	536fa4b33fae	2025-07-28	other: product/behavior	0	1	chore: remove @pokerbob/task-loader dependency from mobile package.json
psmobile	bd6300a50016	2025-07-28	other: docs/plans	0	568	chore: remove obsolete planning and redundancy documentation files
psmobile	abd7591e0e66	2025-07-28	other: dead/stale/unused code	2	2	chore: remove obsolete code and clean up unused task system files
psmobile	ed18559dd8ff	2025-07-28	proof ceremony	0	33013	refactor: remove redundant tasks directory
psmobile	474825a7f5ad	2025-07-28	extra state	12	9	fix: enforce strict 6-max table size and remove adaptive table size logic
psmobile	dd17244b549e	2025-07-28	abstraction/wrapper/controller	557	0	chore: remove non-expo audio service files
psmobile	4229f281d371	2025-07-29	test sprawl	1	304	chore: remove test puzzle loader and seeder utilities from mobile app
psmobile	38caf3086aa1	2025-07-29	other: dead/stale/unused code	0	220	chore: remove actually unused utility files
psmobile	0349150cb304	2025-07-29	diagnostics residue	114	211	fix: remove __DEV__ guards to enable logging in all environments
psmobile	d453276b8cc3	2025-07-29	extra state	19	48	refactor: centralize emergency reset logic in resetDatabase and remove duplication
psmobile	98ce820dc873	2025-07-29	extra state	4	21	refactor: remove redundant puzzle caching in DatabaseInspector syncPuzzles
psmobile	2f1f7f84adba	2025-07-29	other: product/behavior	1	15	refactor: remove star display from ImmediateResultsDisplay component
psmobile	7467a09f3b6a	2025-07-29	other: product/behavior	0	1	fix: remove flex:1 from ModalHeader title to fix icon click target overlap
psmobile	ebe61d96b4f0	2025-07-29	outside-task change	0	1	fix: remove stray closing brace causing syntax error in clearOfflineData.ts
psmobile	544a3002b595	2025-07-29	proof ceremony	6	9	chore: remove obsolete generate:manifest scripts and references
psmobile	3c8903d42835	2025-07-30	diagnostics residue	159	8249	refactor: replace console logs with logger in storage and debug utilities
psmobile	efa3ac132033	2025-07-30	other: dead/stale/unused code	5	3887	refactor: remove unused task, coach, shop, and dashboard components
psmobile	68cec37fc1c4	2025-07-30	diagnostics residue	21	82	refactor: remove CommunityCards component and clean up debug screens
psmobile	f9f6afccd56e	2025-07-30	diagnostics residue	119	46	refactor: remove remaining verbose debug logging
psmobile	d13dc924fb52	2025-07-30	diagnostics residue	1	1	fix: replace TaskQuestionSection with TableTaskHeader in SpriteDebugScreen
psmobile	39a1defb1e04	2025-07-31	diagnostics residue	0	76	refactor: remove unused PuzzleRewriterDebugWrapper debug component
psmobile	d4ef52d70e2c	2025-07-31	other: product/behavior	1	1	fix: remove invalid callback from withSequence in VillainButton animation
psmobile	dd116a097b7a	2025-08-01	other: product/behavior	7	71	refactor: switch to amount_chips, remove original_puzzle import, clean up conversions
psmobile	fdcc6b6c5cc4	2025-08-01	other: dead/stale/unused code	98	169	chore: remove unused villaindrop rive animation
psmobile	48a5407d4b95	2025-08-01	other: product/behavior	6	9	refactor: remove debrief and variant, enforce required game_type and action type
psmobile	2ce1363b4046	2025-08-01	other: docs/plans	0	192	docs: remove detailed refactoring cleanup plan from plan.md
psmobile	59a6be4421d0	2025-08-01	fallback/compat path	3	3	fix: enforce title presence during import and remove slug fallback logic
psmobile	74139a1641c6	2025-08-04	other: product/behavior	0	1	fix: remove translateY transform to prevent hero area overlapping buttons
psmobile	9a0de1b24adb	2025-08-08	extra state	2060	491	fix(mobile): remove PuzzleRewriter feature and prevent unsafe nav auto-restore
psmobile	ecb23d395078	2025-08-08	other: product/behavior	1	8	feat: remove confirm button from card grid screen for auto-advance
psmobile	6db87e64b52c	2025-08-08	other: product/behavior	1686	275	fix(dev-menu): anchor sheet to top using safe area insets; remove absolute top offset
psmobile	a78e8d00590e	2025-08-08	extra state	1	1	fix: remove undefined animation refs from CardGrid useMemo dependencies
psmobile	afa48f58ce87	2025-08-09	other: revert	17	59	revert: disable direct card selection for best five
psmobile	c011c7811a38	2025-08-09	other: product/behavior	12	34	fix: simplify ActionButtonsContainer layout and update card container width
